Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_net_for_var,ret_pct_for_sig,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,trades,execution_price,delta_price,carry_pnl_eur,trade_pnl_eur,carry_pnl_usd,trade_pnl_usd,pnl_usd,strategy_ret,sharpe_usd,tickValue,tickSize
2017-01-16,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,,0.17000000000001592,0.0010403280093018719,1.0154322011557528,1.007686558983374,163.518769796096,163.6907849787533,-0.17201518265730442,-0.17070306349113717,-1.2802729761835288,-1.2802729761835288,-0.0017153727837209399,0.4610539564738965,1.6358000000000001,1635.8000000000002,754.192062,1162.9792783346184,125000.0,107.48256854498689,-13.760702791894051,-15.0,-1.0,163.41,0.17000000000001592,-2380.000000000223,170.00000000001592,-3670.007710100575,262.1434078643268,-3407.864302236248,-0.0003407864302236248,-0.10322257450115174,10,0.01
2017-01-17,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,,0.3199999999999932,0.001956229367893414,0.9660791092013876,0.982893233877102,163.6712618776576,163.71539851066467,-0.044136633007070714,-0.04490480907368768,-0.3367860680526576,-0.3367860680526576,-0.002504507594930524,0.4199847736424649,1.639,1639.0,688.3550439999999,1061.4572767925981,125000.0,117.76262948397893,-3.9660812947451225,-14.0,1.0,163.58,0.3199999999999932,-4799.999999999898,-319.9999999999932,-7401.69622205073,-493.44641480338197,-7895.142636854112,-0.0007895142636854112,-0.10322257450115174,10,0.01
2017-01-18,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,,-0.4800000000000182,-0.0029286150091519803,0.9263126708661784,0.9624513862352625,163.57075712659457,163.68064574470412,-0.10988861810955086,-0.1141757596083815,-0.8563181970628613,-0.8563181970628613,0.0009863167337722932,0.4049602049932689,1.6341999999999999,1634.1999999999998,661.7859669999999,1020.4872274479568,125000.0,122.49050908025676,-10.489085189291751,-4.0,10.0,163.9,-0.4800000000000182,6720.000000000255,4800.000000000182,10362.374710871634,7401.696222051168,17764.0709329228,0.0017764070932922802,-0.10322257450115174,10,0.01
2017-01-19,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,,-0.38999999999998636,-0.0023864888018602093,0.8844633373058439,0.9404591098531844,163.35445427595675,163.60409918650365,-0.2496449105468912,-0.2654500423584215,-1.9908753176881613,-1.9908753176881613,0.0020435937881196423,0.33664987548303993,1.6303,1630.3000000000002,548.8402920000001,846.3227324595222,125000.0,147.69779329539455,-29.404789114880902,-10.0,-6.0,163.42,-0.38999999999998636,1559.9999999999454,-2339.999999999918,2405.551272166454,-3608.3269082496813,-1202.7756360832273,-0.00012027756360832272,-0.10322257450115174,10,0.01
2017-01-20,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.539440142,15,0.002,,1.1308,,-0.7400000000000091,-0.004539041894130014,0.8662545082622856,0.9307279453536815,162.92867256557406,163.4494992822091,-0.5208267166350424,-0.5595907152407738,-4.196930364305803,-4.196930364305803,0.009036666472975964,0.3323927179739972,1.6229,1622.9,539.4401420000002,831.8275127216657,125000.0,150.27153837579993,-63.06791823003395,-29.0,-19.0,163.03,-0.7400000000000091,7400.000000000091,-14060.000000000173,11410.948342328591,-21680.801850424323,-10269.853508095732,-0.0010269853508095732,-0.10322257450115174,10,0.01
2017-01-23,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454,16,0.002,,1.1308,,0.8400000000000034,0.005175919650009186,0.8575704807886488,0.9260510141394203,163.0092035393444,163.41191113136097,-0.40270759201655437,-0.4348654511120975,-3.2614908833407315,-3.2614908833407315,-0.02172297434233062,0.33099273830687187,1.6313,1631.3,539.9484540000001,832.6113400154204,125000.0,150.1300714901204,-48.964785948031995,-63.0,-34.0,162.29,0.8400000000000034,-24360.0000000001,28560.000000000116,-37563.608326908405,44040.092521202954,6476.4841942945495,0.0006476484194294549,-0.10322257450115174,10,0.01
2017-01-24,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.551983393,17,0.002,,1.1308,,-0.37000000000000455,-0.002268129712499234,0.8186153196649383,0.9047736289619289,162.90952212360665,163.33521570414203,-0.42569358053538053,-0.4704973342600516,-3.528730006950387,-3.528730006950387,0.007397484379550486,0.33913946485623003,1.6276,1627.6,551.983393,851.1694572089438,125000.0,146.85677327977146,-51.82179025962394,-49.0,14.0,163.13,-0.37000000000000455,23310.000000000287,5180.000000000064,35944.487278335066,7987.663839630014,43932.15111796508,0.004393215111796508,-0.10322257450115174,10,0.01
2017-01-25,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.647763589,18,0.002,,1.1308,,-1.0,-0.0061440157286802854,0.828419896980347,0.9101757506000404,162.44971327416397,163.14989620953708,-0.7001829353731068,-0.7692832234999732,-5.769624176249799,-5.769624176249799,0.02168057266496927,0.4004473225766568,1.6176,1617.6,647.7635889999999,998.8644394757131,125000.0,125.14210643599483,-72.20229227599414,-52.0,-3.0,162.76,-1.0,49000.0,-3000.0,75558.98226676947,-4626.060138781804,70932.92212798767,0.007093292212798767,-0.10322257450115174,10,0.01
2017-01-26,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.757355707,19,0.002,,1.1308,,-0.3299999999999841,-0.002040059347180878,0.7895269295760033,0.888553278974313,162.0418279644984,162.9475554790033,-0.9057275145049175,-1.0193283125919352,-7.644962344439515,-7.644962344439515,0.011770375730479177,0.46915425075884276,1.6143,1614.3000000000002,757.3557069999999,1167.8576823438705,125000.0,107.03358970001133,-81.82677628467758,-72.0,-20.0,161.76,-0.3299999999999841,17159.99999999917,-6599.999999999682,26461.06399383064,-10177.332305319478,16283.731688511163,0.0016283731688511163,-0.10322257450115174,10,0.01
2017-01-27,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.812758062,20,0.002,,1.1308,,0.4199999999999875,0.0026017468871957217,0.7563849333827053,0.8697039343263345,161.96509677869903,162.81843130500292,-0.8533345263038825,-0.9811781833146108,-7.358836374859581,-7.358836374859581,-0.019890256982374014,0.5021674772937906,1.6185,1618.5,812.7580620000001,1253.289224363917,125000.0,99.73755264946236,-73.39523303763362,-82.0,-10.0,161.43,0.4199999999999875,-30239.999999999098,4199.9999999998745,-46630.6861989192,6476.484194294333,-40154.202004624865,-0.0040154202004624865,-0.10322257450115174,10,0.01
2017-01-30,161.93,162.22,161.35,162.07,814240,1708279,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162070,162.07,158.96,0.842975484,21,0.002,,1.1308,,0.21999999999999886,0.001359283286994195,0.7181154775241807,0.8474169443220856,162.00705806721942,162.73038056323787,-0.7233224960184543,-0.8535615211200385,-6.401711408400288,-6.401711408400288,-0.010002743296071578,0.5201304892947493,1.6207,1620.7,842.9754840000002,1299.885094834233,125000.0,96.16234580791199,-61.56035862170438,-73.0,9.0,161.85,0.21999999999999886,-18039.999999999905,-1979.9999999999898,-27818.041634541103,-3053.1996915959753,-30871.24132613708,-0.003087124132613708,-0.10322257450115174,10,0.01
2017-01-31,162.07,162.29,161.49,162.13,1001325,1717559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162130,162.13,159.01,0.846005319,22,0.002,,1.1308,,0.060000000000002274,0.0003702104029124076,0.6794930192796304,0.8243136655907327,162.05623484033165,162.6597475557981,-0.6035127154664508,-0.7321396461794091,-5.491047346345568,-5.491047346345568,-0.002369980159832827,0.5218067717263924,1.6213,1621.3,846.0053190000001,1304.557161141095,125000.0,95.81795548971009,-52.61409302240304,-62.0,11.0,162.07,0.060000000000002274,-4380.0000000001655,-660.000000000025,-6754.04780262169,-1017.7332305320356,-7771.781033153726,-0.0007771781033153725,-0.10322257450115174,10,0.01
2017-02-01,161.9,162.02,161.51,161.61,737846,1700070,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.48,0.875672503,23,0.002,,1.1308,,-0.5199999999999818,-0.003207302781718213,0.6573798831023521,0.8107896663761521,161.87774090419902,162.53624784335125,-0.6585069391522325,-0.8121797384214926,-6.091348038161194,-6.091348038161194,0.017611451428480553,0.5418430189963492,1.6161,1616.1000000000001,875.6725030000001,1350.3045535851968,125000.0,92.57170885494847,-56.38864971228196,-53.0,9.0,162.13,-0.5199999999999818,32239.999999998872,4679.999999999836,49714.72629144005,7216.653816499363,56931.38010793941,0.005693138010793941,-0.10322257450115174,10,0.01
2017-02-02,161.94,162.56,161.63,162.37,856473,1691350,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162370,162.37,159.24,0.82122226,24,0.002,,1.1308,,0.7599999999999909,0.004702679289647849,0.6530674569887107,0.8081258917945339,162.07464454251942,162.5166892735452,-0.44204473102578845,-0.546999836924144,-4.10249877693108,-4.10249877693108,-0.028645656265097703,0.5057721623452608,1.6237000000000001,1623.7,821.22226,1266.3411873554357,125000.0,98.70957467714038,-40.495590938435555,-56.0,-3.0,161.61,0.7599999999999909,-40279.99999999952,2279.9999999999727,-62112.56746337629,3515.8057054741294,-58596.76175790216,-0.005859676175790216,-0.10322257450115174,10,0.01
2017-02-03,162.15,162.68,162.01,162.49,657266,1685955,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162490,162.49,159.36,0.785932143,25,0.002,,1.1308,,0.12000000000000455,0.0007390527806860892,0.6185448917460777,0.7864762499567789,162.24078672551167,162.51354935901048,-0.27276263349881447,-0.34681610984922207,-2.6011208238691657,-2.6011208238691657,-0.0030319631288521945,0.4836803144808911,1.6249000000000002,1624.9000000000003,785.9321430000001,1211.9231195065538,125000.0,103.14185610296383,-26.82844297219362,-40.0,16.0,162.37,0.12000000000000455,-6720.000000000255,-1920.0000000000728,-10362.374710871634,-2960.678488820467,-13323.053199692102,-0.0013323053199692102,-0.10322257450115174,10,0.01
2017-02-06,162.5,163.48,162.44,163.19,938640,1713899,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,160.05,0.716438413,26,0.002,,1.1308,,0.6999999999999886,0.0043079574127637965,0.611596519219262,0.7820463664126712,162.620472035307,162.59313178736218,0.027340247944806606,0.034959881049277414,0.2621991078695806,0.2621991078695806,-0.011205517734681446,0.43902102641093205,1.6319,1631.8999999999999,716.438413,1104.762394757132,125000.0,113.14650154025172,2.966691176241813,-27.0,13.0,162.49,0.6999999999999886,-27999.999999999545,-9099.999999999853,-43176.56129529614,-14032.382420971246,-57208.943716267386,-0.005720894371626739,-0.10322257450115174,10,0.01
2017-02-07,163.49,163.74,162.97,163.38,965267,1705739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163380,163.38,160.2,0.721030975,27,0.002,,1.1308,,0.18999999999999773,0.001164287027391353,0.5804885992614639,0.761898024187925,162.9242832211842,162.68570451826074,0.23857870292346206,0.31313731673966877,2.348529875547516,2.348529875547516,0.0003052750198861387,0.44132144387317906,1.6338,1633.8,721.0309749999999,1111.8442174248264,125000.0,112.42582192810788,26.40354015811464,3.0,30.0,163.19,0.18999999999999773,-5129.999999999938,-5699.999999999932,-7910.56283731679,-8789.514263685323,-16700.077101002113,-0.0016700077101002113,-0.10322257450115174,10,0.01
2017-02-08,163.53,164.41,163.44,164.22,993921,1701976,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164220,164.22,161.02,0.770075105,28,0.002,,1.1308,,0.8400000000000034,0.005141388174807249,0.5872513776797634,0.7663232853566199,163.4425699327105,162.8662098690536,0.5763600636569208,0.7521108580025767,5.640831435019325,5.640831435019325,0.012074703730321538,0.4689289398368043,1.6422,1642.2,770.075105,1187.4712490362376,125000.0,105.26570651832718,59.378610635809856,26.0,23.0,163.38,0.8400000000000034,2520.00000000001,-19320.00000000008,3885.890516576731,-29791.827293754945,-25905.936777178213,-0.002590593677717821,-0.10322257450115174,10,0.01
2017-02-09,164.21,164.46,163.97,164.23,771865,1715433,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164230,164.23,161.01,0.80645996,29,0.002,,1.1308,,0.009999999999990905,6.089392278640915e-05,0.5555134653727491,0.745327757012141,163.75754195962628,163.02665576681198,0.730886192814296,0.9806238744472121,7.35467905835409,7.35467905835409,0.00034349235385521627,0.4910552030688668,1.6422999999999999,1642.3,806.4599599999999,1243.5774248265227,125000.0,100.51645961443641,73.92663005461901,59.0,33.0,164.22,0.009999999999990905,259.99999999976353,-329.99999999969987,400.92521202739175,-508.8666152655357,-107.94140323814395,-1.0794140323814395e-05,-0.10322257450115174,10,0.01
2017-02-10,163.96,164.17,163.76,163.91,639537,1730715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163910,163.91,160.7,0.831093657,30,0.002,,1.1308,,-0.3199999999999932,-0.0019484868781586284,0.5310208456228706,0.7287117712942961,163.8185251757758,163.13057861777529,0.6879465580005046,0.9440585223134428,7.080438917350821,7.080438917350821,-0.014330495638271002,0.5070426801293393,1.6391,1639.1,831.093657,1281.5630794140325,125000.0,97.5371419541468,69.06057757793126,74.0,15.0,164.23,-0.3199999999999932,-18879.999999999596,4799.999999999898,-29113.338473399534,7401.69622205073,-21711.642251348803,-0.0021711642251348805,-0.10322257450115174,10,0.01
2017-02-13,163.93,164.03,163.68,163.76,512868,1743253,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163760,163.76,160.56,0.846974419,31,0.002,,1.1308,,-0.15000000000000568,-0.0009151363553169256,0.5035332323459587,0.7096007555984976,163.79511510546547,163.20462819215464,0.5904869133108264,0.8321396343677689,6.241047257758267,6.241047257758267,-0.006479567064868549,0.5172047013922815,1.6376,1637.6,846.9744190000001,1306.0515327679263,125000.0,95.70832150480801,59.73201574722286,69.0,-5.0,163.91,-0.15000000000000568,-11100.00000000042,-750.0000000000284,-17116.422513493326,-1156.515034695495,-18272.93754818882,-0.0018272937548188821,-0.10322257450115174,10,0.01
2017-02-14,163.97,164.07,163.26,163.42,740039,1754219,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.22,0.851208357,32,0.002,,1.1308,,-0.3400000000000034,-0.002076209086467995,0.48256386843536647,0.6946681714569672,163.64506906327927,163.22996605190116,0.41510301137810757,0.597555823678359,4.481668677587693,4.481668677587693,-0.012957719025633876,0.5208715928282952,1.6341999999999999,1634.1999999999998,851.208357,1312.5803500385505,125000.0,95.23226520671953,42.679946007267915,60.0,-9.0,163.76,-0.3400000000000034,-23460.000000000236,-3060.000000000031,-36175.79028527407,-4718.5813415574885,-40894.37162683156,-0.0040894371626831565,-0.10322257450115174,10,0.01
2017-02-15,163.52,163.55,163.13,163.3,665674,1746602,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163300,163.3,160.11,0.847630619,33,0.002,,1.1308,,-0.11999999999997613,-0.0007343042467260474,0.4572577133848058,0.6762083357847682,163.50704143796756,163.23820533991278,0.26883609805477704,0.3975640107168768,2.981730080376576,2.981730080376576,-0.003290908342371752,0.5190634531537048,1.6330000000000002,1633.0000000000002,847.6306190000001,1307.0634063222824,125000.0,95.6342281448424,28.515545477307274,43.0,-17.0,163.42,-0.11999999999997613,-7199.999999998568,-2039.9999999995941,-11102.544333074122,-3145.720894371001,-14248.265227445123,-0.0014248265227445123,-0.10322257450115174,10,0.01
2017-02-16,163.48,163.88,163.32,163.84,754372,1748981,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163840,163.84,160.65,0.845453133,34,0.002,,1.1308,,0.539999999999992,0.003306797305572484,0.44830324239103203,0.6695545103955555,163.64022486278054,163.30900471168775,0.33122015109279346,0.49468735696682437,3.710155177251183,3.710155177251183,0.009859976995733688,0.5160236407470703,1.6384,1638.4,845.453133,1303.7056792598305,125000.0,95.88053652644042,35.573166899119414,29.0,-14.0,163.3,0.539999999999992,23219.999999999658,7559.999999999889,35805.70547417064,11657.671549729976,47463.37702390061,0.004746337702390061,-0.10322257450115174,10,0.01
2017-02-17,163.79,164.64,163.62,164.43,751339,1742367,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164430,164.43,161.23,0.890519511,35,0.002,,1.1308,,0.5900000000000034,0.00360107421875,0.4428868509104359,0.6654974462088009,163.95613491766832,163.4408865103127,0.5152484073556138,0.7742304802082648,5.806728601561986,5.806728601561986,0.013360544156361072,0.5415797062579821,1.6443,1644.3000000000002,890.5195110000001,1373.1989375481883,125000.0,91.02832559948256,52.85767818108125,36.0,7.0,163.84,0.5900000000000034,17110.0000000001,-4130.000000000024,26383.96299151904,-6368.54279105632,20015.420200462722,0.002001542020046272,-0.10322257450115174,10,0.01
2017-02-20,164.28,164.68,164.18,164.58,597814,1722583,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164580,164.58,161.38,0.937918795,36,0.002,,1.1308,,0.15000000000000568,0.0009122422915526229,0.4201632373477097,0.6481999979541112,164.205680950601,163.57489986204064,0.6307810885603544,0.9731272609553604,7.298454457165203,7.298454457165203,0.005297143405913063,0.5698862528861344,1.6458000000000002,1645.8000000000002,937.918795,1446.2895836545877,125000.0,86.428057985553,63.07912450287919,53.0,17.0,164.43,0.15000000000000568,5400.000000000205,-2550.0000000000964,8326.908249807564,-3932.1511179646823,4394.757131842882,0.0004394757131842882,-0.10322257450115174,10,0.01
2017-02-21,164.57,164.64,164.09,164.41,692504,1701228,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164410,164.41,161.22,0.962182762,37,0.002,,1.1308,,-0.17000000000001592,-0.001032932312553303,0.3990138731667527,0.6316754492354065,164.28740857036058,163.67314693709469,0.6142616332658974,0.9724323369056259,7.293242526792194,7.293242526792194,-0.007538809440504615,0.5852337217930783,1.6441,1644.1,962.182762,1483.7051071703934,125000.0,84.24854736692943,61.44450884769562,63.0,10.0,164.58,-0.17000000000001592,-9010.000000000844,1700.0000000001592,-13893.60061680932,2621.434078643268,-11272.166538166053,-0.0011272166538166054,-0.10322257450115174,10,0.01
2017-02-22,164.35,165.53,164.31,164.99,1140900,1712331,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164990,164.99,161.78,1.033838801,38,0.002,,1.1308,,0.5800000000000125,0.0035277659509762582,0.39562933948206414,0.6289907308395444,164.56844514221638,163.82807082684823,0.7403743153681432,1.1770830301106818,8.828122725830113,8.828122725830113,0.025728852658229554,0.6266069464816049,1.6499000000000001,1649.9,1033.8388009999999,1594.2001557440246,125000.0,78.40922581121039,69.22062682986915,61.0,-2.0,164.41,0.5800000000000125,36540.000000000786,1160.000000000025,56345.41249036359,1788.7432536623362,58134.15574402593,0.005813415574402593,-0.10322257450115174,10,0.01
2017-02-23,165.1,165.8,164.84,165.64,781978,1693507,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165640,165.64,162.4,1.147469244,39,0.002,,1.1308,,0.6499999999999773,0.003939632705012297,0.39708180761816714,0.630144275240335,164.99706708532983,164.04123896486607,0.9558281204637638,1.516840123794212,11.37630092845659,11.37630092845659,0.03477956101454262,0.692748879497706,1.6563999999999999,1656.3999999999999,1147.4692440000001,1769.4205767154976,125000.0,70.6445949848918,80.36741715170643,69.0,8.0,164.99,0.6499999999999773,39649.99999999861,-5199.999999999818,61141.0948342307,-8018.5042405548475,53122.59059367586,0.005312259059367586,-0.10322257450115174,10,0.01
